TimeStamp,D1_Commanded_Torque,IVT_Result_I,D2_Motor_Speed,D1_DC_Bus_Voltage
1718626720016.999268,0,-23.9999,0,260.256
1718626720025.998779,0,-25.7998,0,260.833
1718626720034.998047,0,-26.4004,0,261.522
1718626720043.997314,0,-24.6005,0,262.133
1718626720052.996826,0,-23.0997,0,262.022
1718626720061.996094,0,-23.9996,0,262.533
1718626720070.995361,0,-24.8995,0,263.4
1718626720079.994873,0,-25.3997,0,263.678
1718626720088.994141,0,-25.8497,0,264.322
1718626720097.993408,0,-23.9023,0,264.933
1718626720106.992920,0,-20.7525,0,265.533
1718626720115.992188,0,-19.5988,0,265.866
1718626720124.991455,0,-20.9487,0,266.61
1718626720133.990967,0,-21.7156,0,267.677
1718626720142.990234,0,-20.43,0,267.8
1718626720151.989502,0,-19.1444,0,267.978
1718626720160.989014,0,-21.9433,0,268.444
1718626720169.988281,0,-25.2588,0,269.388
1718626720178.987549,0,-23.5544,0,269.323
1718626720187.987061,0,-20.4045,0,270.454
1718626720196.986328,0,-20.4247,0,270.955
1718626720205.985596,0,-22.9959,0,271.799
1718626720214.985107,0,-25.0993,0,272.077
1718626720223.984375,0,-25.5492,0,272.632
1718626720232.983887,0,-26,0,272.877
1718626720241.983154,0,-23.3051,0,273.344
1718626720250.982422,0,-20.6053,0,273.932
1718626720259.981934,0,-20.3491,0,274.443
1718626720268.981201,0,-20.7991,0,275.564
1718626720277.980469,0,-21.498,0,275.523
1718626720286.979980,0,-22.398,0,276.121
1718626720295.979248,0,-22.7021,0,276.2
1718626720304.978516,0,-21.8021,0,277.884
1718626720313.978027,0,-21,0,277.923
1718626720322.977295,0,-21,0,278.255
1718626720331.976563,0,-21,0,278.743
1718626720340.976074,0,-22.4686,0,278.977
1718626720349.975342,0,-24.3632,0,279.354
1718626720358.974609,0,-25,0,280.109
1718626720367.974121,0,-25,0,280.2
1718626720376.973389,0,-24.4324,0,280.82
1718626720385.972656,0,-23.1468,0,281.609
1718626720394.972168,0,-21.8977,0,281.966
1718626720403.971436,0,-20.9504,0,283.151
1718626720412.970703,0,-20,0,283.654
1718626720421.970215,0,-22.2426,0,283.877
1718626720430.969482,0,-24.4924,0,284.077
1718626720439.968750,0,-23.3408,0,285.074
1718626720448.968262,0,-21.198,0,285.377
1718626720457.967529,0,-20.8353,0,285.931
1718626720466.966797,0,-22.7299,0,286.177
1718626720475.966309,0,-23.4067,0,286.997
1718626720484.965576,0,-21.6069,0,287.454
1718626720493.964844,0,-19.7243,0,287.942
1718626720502.964355,0,-17.153,0,288.708
1718626720511.963623,0,-14.5818,0,288.623
1718626720520.962891,0,-16.437,0,289.396
1718626720529.962402,0,-19.5868,0,289.677
1718626720538.961670,0,-21.2481,0,290.408
1718626720547.960938,0,-21.698,0,290.5
1718626720556.960449,0,-21.704,0,291.296
1718626720565.959717,0,-20.804,0,291.223
1718626720574.958984,0,-20.0959,0,291.554
1718626720583.958496,0,-20.9958,0,292.396
1718626720592.957764,0,-21.8958,0,292.677
1718626720601.957031,0,-22.7957,0,293.584
1718626720610.956543,0,-23.6957,0,293.7
1718626720619.955811,0,-22.8088,0,293.965
1718626720628.955078,0,-21.009,0,294.53
1718626720637.954590,0,-20.3955,0,295.042
1718626720646.953857,0,-21.2954,0,295.807
1718626720655.953369,0,-21.414,0,296.077
1718626720664.952637,0,-18.7142,0,296.277
1718626720673.951904,0,-16,0,296.742
1718626720682.951416,0,-18.1313,0,297.86
1718626720691.950684,0,-20.274,0,297.647
1718626720700.949951,0,-20.3737,0,298.572
1718626720709.949463,0,-19.4264,0,298.523
1718626720718.948730,0,-19,0,299.472
1718626720727.947998,0,-19,0,299.777
1718626720736.947510,0,-19,0,300.33
1718626720745.946777,0,-19,0,300.223
1718626720754.946045,0,-19,0,300.73
1718626720763.945557,0,-19.4708,0,301.241
1718626720772.944824,0,-19.9445,0,301.653
1718626720781.944092,0,-20.3783,0,302.494
1718626720790.943604,0,-20.8068,0,302.6
1718626720799.942871,0,-21,0,303.306
1718626720808.942139,0,-21,0,303.4
1718626720817.941650,0,-21.8825,0,304.018
1718626720826.940918,0,-24.5823,0,303.924
1718626720835.940186,0,-26.4359,0,305.4
1718626720844.939697,0,-21.0362,0,305.424
1718626720853.938965,0,-15.6366,0,305.576
1718626720862.938232,0,-18.1753,0,306.129
1718626720871.937744,0,-21.7751,0,306.376
1718626720880.937012,0,-22.1094,0,307.017
1718626720889.936279,0,-20.7596,0,307.1
1718626720898.935791,0,-20.1968,0,307.453
1718626720907.935059,0,-20.6468,0,308.47
1718626720916.934326,0,-20.7237,0,309.57
1718626720925.933838,0,-19.438,0,308.907
1718626720934.933105,0,-18.1524,0,309.329
1718626720943.932373,0,-18.4175,0,310.193
1718626720952.931885,0,-18.8912,0,310.653
1718626720961.931152,0,-19.3466,0,310.524
1718626720970.930420,0,-19.7965,0,310.852
1718626720979.929932,0,-19.7652,0,311.869
1718626720988.929199,0,-19.3367,0,312.441
1718626720997.928467,0,-19.406,0,312.06
1718626721006.927979,0,-21.3006,0,313.145
1718626721015.927246,0,-22.8609,0,313.3
1718626721024.926514,0,-21.511,0,313.3
1718626721033.926025,0,-20.1611,0,313.916
1718626721042.925293,0,-20.7548,0,314.528
1718626721051.924561,0,-21.6119,0,314.952
1718626721060.924072,0,-21.2614,0,315.352
1718626721069.923340,0,-19.9115,0,315.84
1718626721078.922852,0,-18.4154,0,316.604
1718626721087.922119,0,-16.6156,0,316.172
1718626721096.921387,0,-15.2764,0,316.452
1718626721105.920898,0,-17.9763,0,317.292
1718626721114.920166,0,-20.676,0,317.4
1718626721123.919434,0,-18.6242,0,317.136
1718626721132.918945,0,-15.9243,0,318.332
1718626721141.918213,0,-16.7755,0,318.676
1718626721150.917480,0,-19.4752,0,319.404
1718626721159.916992,0,-21.5875,0,319.676
1718626721168.916260,0,-22.9374,0,319.7
1718626721177.915527,0,-23.7127,0,320.14
1718626721186.915039,0,-22.3627,0,320.728
1718626721195.914307,0,-21,0,320.976
1718626721204.913574,0,-19.663,0,321.352
1718626721213.913086,0,-18.313,0,321.048
1718626721222.912354,0,-18.6912,0,322.319
1718626721231.911621,0,-19.5912,0,322.764
1718626721240.911133,0,-18.7722,0,322.536
1718626721249.910400,0,-16.5224,0,323.115
1718626721258.909668,0,-15.291,0,323.552
1718626721267.909180,0,-16.1909,0,324.215
1718626721276.908447,0,-16.827,0,324.651
1718626721285.907715,0,-15.1128,0,324.876
1718626721294.907227,0,-13.3986,0,324.9
1718626721303.906494,0,-16.9985,0,325.427
1718626721312.905762,0,-22.2086,0,325.939
1718626721321.905273,0,-22.8189,0,326
1718626721330.904541,0,-21.0191,0,326.176
1718626721339.903809,0,-20,0,326.727
1718626721348.903320,0,-20,0,326.976
1718626721357.902588,0,-19.9549,0,327.176
1718626721366.901855,0,-19.5049,0,328.341
1718626721375.901367,0,-19.0549,0,328.5
1718626721384.900635,0,-18.605,0,328.149
1718626721393.899902,0,-18.155,0,328.89
1718626721402.899414,0,-18.5899,0,329
1718626721411.898682,0,-19.4899,0,329.527
1718626721420.897949,0,-18.8306,0,329.6
1718626721429.897461,0,-16.1308,0,330.39
1718626721438.896729,0,-13.6207,0,331.026
1718626721447.895996,0,-11.8208,0,331.1
1718626721456.895508,0,-10.0209,0,331.626
1718626721465.894775,0,-13.1132,0,331.963
1718626721474.894043,0,-16.2629,0,332.175
1718626721483.893555,0,-16.6553,0,332.726
1718626721492.892822,0,-16.2054,0,332.274
1718626721501.892334,0,-16.2446,0,333.34
1718626721510.891602,0,-16.6946,0,333.5
1718626721519.890869,0,-17,0,333.325
1718626721528.890381,0,-17,0,333.475
1718626721537.889648,0,-17,0,334.464
1718626721546.888916,0,-15.5965,0,334.951
1718626721555.888428,0,-14.1755,0,335
1718626721564.887695,0,-17.1551,0,335.351
1718626721573.886963,0,-20.7548,0,335.575
1718626721582.886475,0,-20.3182,0,335.951
1718626721591.885742,0,-17.7469,0,336.613
1718626721600.885010,0,-15.6963,0,336.875
1718626721609.884521,0,-14.749,0,336.9
1718626721618.883789,0,-14.4485,0,337.601
1718626721627.883057,0,-16.5912,0,337.525
1718626721636.882568,0,-18.7339,0,338.113
1718626721645.881836,0,-17.0295,0,338.2
1718626721654.881104,0,-14.7797,0,338.725
1718626721663.880615,0,-13.4119,0,339.238
1718626721672.879883,0,-12.512,0,338.862
1718626721681.879150,0,-12.9698,0,339.588
1718626721690.878662,0,-15.2197,0,340.488
1718626721699.877930,0,-16.9106,0,340.162
1718626721708.877197,0,-16.482,0,340.888
1718626721717.876709,0,-16.0535,0,341
1718626721726.875977,0,-16,0,341.35
1718626721735.875244,0,-16,0,341.225
1718626721744.874756,0,-16.3437,0,342.337
1718626721753.874023,0,-16.7937,0,341.713
1718626721762.873291,0,-17.2437,0,342.212
1718626721771.872803,0,-17.6936,0,343
1718626721780.872070,0,-17.1384,0,343.1
1718626721789.871338,0,-14.4386,0,342.575
1718626721798.870850,0,-12.0871,0,344.162
1718626721807.870117,0,-12.987,0,344.225
1718626721816.869385,0,-13.8869,0,344.375
1718626721825.868896,0,-15.4988,0,344.4
1718626721834.868164,0,-17.213,0,344.4
1718626721843.867432,0,-17.2315,0,345.187
1718626721852.866943,0,-15.8105,0,345.475
1718626721861.866211,0,-14.4201,0,345.5
1718626721870.865479,0,-13.0702,0,345.85
1718626721879.864990,0,-12.444,0,346.075
1718626721888.864258,0,-14.5867,0,346.886
1718626721897.863525,0,-16.7294,0,346.651
1718626721906.863037,0,-16.5862,0,347.299
1718626721915.862305,0,-16.1125,0,348.186
1718626721924.861816,0,-16.3268,0,348.3
1718626721933.861084,0,-16.7553,0,347.951
1718626721942.860352,0,-17.193,0,348.424
1718626721951.859863,0,-17.643,0,348.675
1718626721960.859131,0,-17.7211,0,349.049
1718626721969.858398,0,-16.3712,0,349.1
1718626721978.857910,0,-15.0213,0,349.537
1718626721987.857178,0,-15,0,349.6
1718626721996.856445,0,-15,0,350.124
1718626722005.855957,0,-14.6572,0,350.375
1718626722014.855225,0,-14.2072,0,350.4
1718626722023.854492,0,-14.7282,0,351.011
1718626722032.854004,0,-16.0781,0,351.973
1718626722041.853271,0,-16.144,0,351.402
1718626722050.852539,0,-13.4442,0,351.3
1718626722059.852051,0,-11.2982,0,352.172
1718626722068.851318,0,-14.448,0,352.562
1718626722077.850586,0,-17.5977,0,352.164
1718626722086.850098,0,-16.8225,0,353.234
1718626722095.849365,0,-15.4726,0,353.051
1718626722104.848633,0,-15,0,353.174
1718626722113.848145,0,-15,0,354.159
1718626722122.847412,0,-15.9161,0,354.474
1718626722131.846680,0,-18.0587,0,354.5
1718626722140.846191,0,-19.7038,0,354.674
1718626722149.845459,0,-16.5541,0,355.485
1718626722158.844727,0,-13.4043,0,355.6
1718626722167.844238,0,-14.6514,0,355.251
1718626722176.843506,0,-16.546,0,355.549
1718626722185.842773,0,-17,0,355.6
1718626722194.842285,0,-17,0,355.949
1718626722203.841553,0,-16.2317,0,356.174
1718626722212.840820,0,-14.4318,0,356.026
1718626722221.840332,0,-13.276,0,356.784
1718626722230.839600,0,-14.6259,0,356.639
1718626722239.838867,0,-15.9758,0,357.994
1718626722248.838379,0,-18.2096,0,358.026
1718626722257.837646,0,-20.4594,0,358.261
1718626722266.836914,0,-17.9234,0,358.213
1718626722275.836426,0,-13.8736,0,358.287
1718626722284.835693,0,-12.4836,0,358.561
1718626722293.834961,0,-13.3835,0,358.948
1718626722302.834473,0,-14.2834,0,359.783
1718626722311.833740,0,-15.1834,0,359.465
1718626722320.833008,0,-15.875,0,359.4
1718626722329.832520,0,-14.5251,0,359.835
1718626722338.831787,0,-13.1752,0,360.248
1718626722347.831299,0,-14.5663,0,361.083
1718626722356.830566,0,-16.3661,0,361.374
1718626722365.829834,0,-15.6119,0,361.226
1718626722374.829346,0,-13.4692,0,361.374
1718626722383.828613,0,-12.4466,0,361.922
1718626722392.827881,0,-13.8676,0,362.261
1718626722401.827393,0,-14.9169,0,361.865
1718626722410.826660,0,-14.5079,0,361.974
1718626722419.825928,0,-14.0988,0,362.522
1718626722428.825439,0,-12.5631,0,362.861
1718626722437.824707,0,-10.6685,0,362.639
1718626722446.823975,0,-12.1457,0,363.209
1718626722455.823486,0,-15.4613,0,363.126
1718626722464.822754,0,-17.4823,0,363.448
1718626722473.822021,0,-18.3822,0,363.5
1718626722482.821533,0,-18.0595,0,364.282
1718626722491.820801,0,-15.0597,0,364.748
1718626722500.820068,0,-12.06,0,364.974
1718626722509.819580,0,-14.2049,0,364.652
1718626722518.818848,0,-16.4547,0,364.6
1718626722527.818115,0,-16.3182,0,365.556
1718626722536.817627,0,-15.4182,0,365.526
1718626722545.816895,0,-14.5183,0,366.195
1718626722554.816162,0,-13.6184,0,365.953
1718626722563.815674,0,-13.1408,0,366.074
1718626722572.814941,0,-13.5907,0,366.621
1718626722581.814209,0,-14,0,367.481
1718626722590.813721,0,-14,0,367.253
1718626722599.812988,0,-14,0,367.374
1718626722608.812256,0,-14,0,367.747
1718626722617.811768,0,-14,0,367.279
1718626722626.811035,0,-14.2906,0,367.894
1718626722635.810303,0,-14.7405,0,368
1718626722644.809814,0,-15.381,0,368.434
1718626722653.809082,0,-16.2809,0,369.021
1718626722662.808350,0,-16.7417,0,368.753
1718626722671.807861,0,-15.456,0,368.353
1718626722680.807129,0,-14.1704,0,368.647
