Type,Section Length,Corner Radius
Straight,1.982880508,0
Left,1.425500421,2.900571723
Straight,0.880849707,0
Right,4.786313632,12.94440464
Right,6.965500222,54.77794851
Straight,10.10896675,0
Left,9.685112441,111.7540552
Right,6.443139319,36.71360238
Right,5.822809536,7.486038194
Straight,6.252248683,0
Left,8.860070605,11.8261743
Left,5.399901401,36.56649608
Left,13.00821554,11.23077662
Left,1.975248738,13.06965886
Right,3.475975839,3.77528903
Right,3.842851066,8.575691406
Straight,7.004049057,0
Right,2.337575526,28.85894489
Straight,21.08703631,0
Left,8.329193474,19.96565891
Straight,1.78270771,0
Right,3.906238899,5.027803158
Straight,5.794518885,0
Left,3.938303787,4.654066735
Straight,2.759806234,0
Right,2.979582979,7.723521513
Straight,1.465920245,0
Right,3.052261242,4.870166167
Straight,2.596481757,0
Left,1.717439294,2.616228428
Straight,21.41486152,0
Right,3.086390671,1.980362311
Straight,3.795592453,0
Left,1.512146588,1.016480853
Straight,28.15626237,0
Left,1.373951435,1.291417528
Straight,7.127244035,0
Right,1.944603221,1.718734464
Straight,4.837540033,0
Right,7.8463169,53.31585781
Straight,16.26947568,0
Left,11.95488073,17.25023358
Left,9.456335592,280.1959357
Right,5.757808782,6.450075516
Straight,15.84995651,0
Left,6.76240109,8.137065688
Straight,16.10980959,0
Right,5.593839136,16.54597875
Right,16.8218082,67.84538613
Right,8.528453851,49.20256441
Straight,4.010853413,0
Left,14.82523663,74.18193509
Straight,6.561885017,0
Right,5.903810477,3.820511745
Straight,6.116071006,0
Left,6.103393439,5.411725596
Right,2.764451449,9.732574841
Straight,8.120803957,0
Right,6.263104971,4.176492094
Right,5.278738704,7.322041468
Right,21.18663307,183.8466959
Right,9.237300791,9.477774105
Straight,11.10776019,0
Left,4.147048146,3.613024675
Left,7.339149721,19.81332402
Straight,13.85970929,0
Right,7.28585878,7.459532645
Left,12.28291679,59.69418379
Left,11.76610434,19.58953271
Straight,11.76610434,0
Right,2.88842063,7.586903646
Straight,4.545891486,0
Right,2.051765756,7.055364962
Left,7.116018099,30.61277776
Straight,3.554654172,0
Left,5.798518932,11.00168104
Straight,17.75225344,0
Right,2.45941565,6.381552433
Straight,8.345599332,0
Right,0.913494476,2.126239911
Left,5.755131331,71.86264
Left,6.998307055,10.81750882
Straight,3.55984778,0
Right,8.347258199,11.72425098
Straight,2.646823503,0
Left,3.363490662,7.1478297
Straight,3.652687568,0
Left,8.932813385,113.2785112
Right,11.1346454,18.05267987
Straight,9.729829005,0
Left,4.931476608,18.11792741
Left,5.793615649,13.55906307
Straight,3.744067771,0
Right,6.22984652,25.57158336
Straight,5.601003674,0
Right,4.407922142,24.00412303
Left,13.48728562,55.39012449
Straight,12.13430137,0
Left,10.14953719,88.86576671
Straight,9.752005421,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
