Engine Speed [rpm],Torque [Nm],,
0.070159375,230.2535546,,
50.66205277,230.2197308,,
157.9218215,230.2197308,,
265.1815902,230.2197308,,
372.441359,230.2197308,,
479.7011277,230.2197308,,whole bun
586.9608964,230.2197308,,
694.2206651,230.2197308,,
801.7851491,230.3330272,,
908.7402026,230.2197308,,
1015.999971,230.2197308,,
1123.25974,230.2197308,,
1230.519509,230.2197308,,
1331.075542,230.2197308,,
1438.335311,220.41915,,
1545.595079,205.1227071,,
1652.854848,191.8115478,,
1760.114617,180.1227281,,
1867.374386,169.7766924,,
1974.634154,160.5546253,,
2081.893923,152.2828052,,
2189.153692,144.8215572,,
2296.413461,138.057302,,
2403.368514,131.913456,,
2510.932998,126.2624876,,
2612.60632,121.3488019,,
2720.759921,116.5250356,,
2826.008569,112.1853097,,
2933.268337,108.0830699,,
3040.528106,104.2702569,,
3140.087902,100.9642585,,
3210.749726,98.74224829,,
3309.794817,95.78740199,,
3415.937297,92.8110264,,
3523.197065,89.98549919,,
3630.456834,87.32692913,,
3737.716603,84.82094292,,
3844.976372,82.4547711,,
3945.532405,80.35332475,,
4053.706319,78.20908119,,
4160.051942,76.20978081,,
4267.311711,74.29423209,,
4374.57148,72.47261774,,
4480.917103,70.75262482,,
4589.091017,69.0848461,,
4694.339665,67.535941,,
4801.477548,66.02897618,,
4907.518455,64.60223218,,
5014.778224,63.22047207,,
5122.037993,61.89658239,,
5227.957015,60.64255037,,
5326.501927,59.52061052,,
5433.456981,58.3489752,,
