TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I
1718634530445.999756,0,4.40002,0,-6
1718634530454.999512,0,4.59997,0,-6
1718634530463.999268,0,4.53337,0,-6
1718634530472.999023,0,4.66662,0,-6
1718634530481.998779,0,4.99996,0,-6.19994
1718634530490.998535,0,4.76675,0,-6.64993
1718634530499.998291,0,4.7333,0,-6.70026
1718634530508.998047,0,4.99993,0,-5.35029
1718634530517.997803,0,5.1,0,-4
1718634530526.997559,0,5.1,0,-2.28618
1718634530535.997070,0,4.9001,0,-0.571987
1718634530544.996826,0,4.8,0,0.315622
1718634530553.996582,0,4.99989,0,0.789294
1718634530562.996338,0,4.76687,0,-0.498901
1718634530571.996094,0,4.46675,0,-3.19883
1718634530580.995850,0,4.4,0,-4.85021
1718634530589.995605,0,4.86632,0,-4.40022
1718634530598.995361,0,4.90015,0,-3.95023
1718634530607.995117,0,4.99984,0,-3.50024
1718634530616.994873,0,4.90017,0,-3.05026
1718634530625.994629,0,4.53357,0,-2.20054
1718634530634.994385,0,4.86623,0,-1.30056
1718634530643.994141,0,4.9002,0,-1.57087
1718634530652.993896,0,4.8,0,-2.42799
1718634530661.993652,0,4.53362,0,-3.31512
1718634530670.993408,0,4.4,0,-4.26246
1718634530679.993164,0,4.66636,0,-4.60137
1718634530688.992920,0,4.8,0,-2.80142
1718634530697.992676,0,4.66683,0,-1
1718634530706.992432,0,4.6,0,-2.28463
1718634530715.992188,0,4.6,0,-3.57031
1718634530724.991699,0,4.93287,0,-4.63071
1718634530733.991455,0,5.1,0,-5.57805
1718634530742.991211,0,5.1,0,-6
1718634530751.990967,0,5.1,0,-6
1718634530760.990723,0,5.36625,0,-5.70139
1718634530769.990479,0,5.36688,0,-4.35143
1718634530778.990234,0,4.96721,0,-3
1718634530787.989990,0,5.13278,0,-3.4495
1718634530796.989746,0,4.96724,0,-3.89949
1718634530805.989502,0,4.6669,0,-3.30105
1718634530814.989258,0,4.73309,0,-2.40107
1718634530823.989014,0,4.99963,0,-2.4989
1718634530832.988770,0,4.63421,0,-3.39888
1718634530841.988525,0,4.4,0,-3.70115
1718634530850.988281,0,4.53307,0,-2.80117
1718634530859.988037,0,4.93267,0,-2.24701
